dt,humidity,pressure,temp,wind_speed
01-01-2017 00:00,85.0,1025.0,-2.19,2.51
01-01-2017 01:00,80.0,1025.0,-2.44,0.5
01-01-2017 02:00,81.0,1024.0,-1.94,1.0
01-01-2017 03:00,89.0,1024.0,-1.62,2.56
01-01-2017 04:00,81.0,1024.0,-1.52,1.0
01-01-2017 05:00,82.0,1024.0,-1.73,1.5
01-01-2017 06:00,81.0,1025.0,-1.49,3.1
01-01-2017 07:00,80.0,1025.0,0.07,2.6
01-01-2017 08:00,75.0,1025.0,2.11,3.1
01-01-2017 09:00,70.0,1025.0,4.47,3.1
01-01-2017 10:00,64.0,1024.0,5.75,2.6
01-01-2017 11:00,60.0,1024.0,6.04,2.6
01-01-2017 12:00,52.0,1023.0,6.38,1.0
01-01-2017 13:00,52.0,1023.0,6.42,1.5
01-01-2017 14:00,54.0,1023.0,5.94,0.5
01-01-2017 15:00,57.0,1023.0,4.42,0.5
01-01-2017 16:00,72.0,1023.0,3.0,1.0
01-01-2017 17:00,73.0,1023.0,1.69,1.0
01-01-2017 18:00,79.0,1023.0,1.12,1.67
01-01-2017 19:00,74.0,1023.0,0.91,1.0
01-01-2017 20:00,74.0,1023.0,0.48,1.5
01-01-2017 21:00,84.0,1024.0,0.1,1.67
01-01-2017 22:00,73.0,1023.0,-1.03,1.0
01-01-2017 23:00,76.0,1023.0,-1.57,1.5
01-02-2017 00:00,87.0,1023.0,-1.75,1.53
01-02-2017 01:00,78.0,1023.0,-2.15,1.0
01-02-2017 02:00,81.0,1023.0,-2.58,0.5
01-02-2017 03:00,91.0,1022.0,-1.98,1.64
01-02-2017 04:00,84.0,1022.0,-2.37,1.0
01-02-2017 05:00,82.0,1023.0,-2.1,1.0
01-02-2017 06:00,78.0,1023.0,-2.03,3.6
01-02-2017 07:00,76.0,1023.0,0.45,3.1
01-02-2017 08:00,71.0,1023.0,2.99,3.1
01-02-2017 09:00,65.0,1023.0,4.86,3.1
01-02-2017 10:00,56.0,1022.0,7.11,3.1
01-02-2017 11:00,50.0,1022.0,7.92,2.1
01-02-2017 12:00,54.0,1021.0,8.42,0.5
01-02-2017 13:00,61.0,1021.0,8.55,1.0
01-02-2017 14:00,53.0,1021.0,8.55,1.0
01-02-2017 15:00,58.0,1021.0,6.4,0.5
01-02-2017 16:00,68.0,1021.0,4.09,1.0
01-02-2017 17:00,73.0,1021.0,2.39,1.0
01-02-2017 18:00,80.0,1022.0,2.0,0.5
01-02-2017 19:00,68.0,1022.0,1.83,0.5
01-02-2017 20:00,58.0,1022.0,2.53,3.6
01-02-2017 21:00,56.0,1022.0,2.72,3.6
01-02-2017 22:00,59.0,1022.0,1.62,3.6
01-02-2017 23:00,61.0,1022.0,1.74,2.6
01-03-2017 00:00,63.0,1022.0,1.71,5.1
01-03-2017 01:00,57.0,1022.0,1.46,3.6
01-03-2017 02:00,59.0,1022.0,1.32,4.6
01-03-2017 03:00,65.0,1022.0,2.03,5.1
01-03-2017 04:00,54.0,1021.0,1.97,4.1
01-03-2017 05:00,59.0,1022.0,2.53,2.1
01-03-2017 06:00,67.0,1022.0,3.24,3.6
01-03-2017 07:00,65.0,1022.0,3.79,3.6
01-03-2017 08:00,57.0,1022.0,5.52,3.6
01-03-2017 09:00,58.0,1022.0,7.36,3.6
01-03-2017 10:00,52.0,1021.0,9.06,3.1
01-03-2017 11:00,51.0,1020.0,10.26,3.6
01-03-2017 12:00,49.0,1020.0,11.11,3.6
01-03-2017 13:00,51.0,1020.0,11.38,3.6
01-03-2017 14:00,51.0,1019.0,11.15,3.1
01-03-2017 15:00,52.0,1020.0,10.36,3.1
01-03-2017 16:00,49.0,1020.0,9.08,0.5
01-03-2017 17:00,54.0,1020.0,7.26,1.5
01-03-2017 18:00,52.0,1020.0,6.8,4.1
01-03-2017 19:00,55.0,1020.0,6.67,1.0
01-03-2017 20:00,52.0,1020.0,6.54,1.0
01-03-2017 21:00,55.0,1020.0,5.99,4.1
01-03-2017 22:00,52.0,1020.0,4.62,2.1
01-03-2017 23:00,56.0,1020.0,4.16,2.6
01-04-2017 00:00,59.0,1020.0,3.72,4.1
01-04-2017 01:00,59.0,1019.0,3.93,2.1
01-04-2017 02:00,59.0,1019.0,4.2,1.5
01-04-2017 03:00,56.0,1019.0,5.76,4.1
01-04-2017 04:00,59.0,1019.0,5.54,3.1
01-04-2017 05:00,55.0,1019.0,5.69,2.6
01-04-2017 06:00,59.0,1019.0,5.95,3.1
01-04-2017 07:00,58.0,1019.0,6.8,3.1
01-04-2017 08:00,56.0,1019.0,8.34,3.6
01-04-2017 09:00,54.0,1019.0,9.51,4.1
01-04-2017 10:00,54.0,1018.0,10.85,3.6
01-04-2017 11:00,51.0,1017.0,11.55,3.6
01-04-2017 12:00,58.0,1016.0,12.48,2.1
01-04-2017 13:00,80.0,1016.0,11.88,2.6
01-04-2017 14:00,77.0,1015.0,11.81,3.6
01-04-2017 15:00,75.0,1015.0,11.51,3.6
01-04-2017 16:00,59.0,1015.0,11.38,3.6
01-04-2017 17:00,58.0,1015.0,10.83,3.1
01-04-2017 18:00,60.0,1015.0,10.44,4.6
01-04-2017 19:00,81.0,1014.0,10.0,4.6
01-04-2017 20:00,87.0,1014.0,10.14,3.6
01-04-2017 21:00,81.0,1014.0,10.06,5.1
01-04-2017 22:00,89.0,1013.0,9.26,4.6
01-04-2017 23:00,89.0,1012.0,9.45,5.1
01-05-2017 00:00,81.0,1011.0,9.5,7.7
01-05-2017 01:00,89.0,1011.0,9.67,4.1
01-05-2017 02:00,90.0,1010.0,10.01,4.1
01-05-2017 03:00,82.0,1009.0,11.07,5.7
01-05-2017 04:00,88.0,1009.0,11.08,3.1
01-05-2017 05:00,88.0,1008.0,11.52,3.6
01-05-2017 06:00,89.0,1008.0,11.79,1.5
01-05-2017 07:00,81.0,1008.0,12.15,2.6
01-05-2017 08:00,70.0,1009.0,13.05,4.1
01-05-2017 09:00,70.0,1009.0,14.17,3.1
01-05-2017 10:00,61.0,1009.0,15.2,3.6
01-05-2017 11:00,56.0,1008.0,15.77,2.6
01-05-2017 12:00,64.0,1008.0,15.84,2.1
01-05-2017 13:00,63.0,1008.0,14.72,2.1
01-05-2017 14:00,65.0,1008.0,15.04,2.1
01-05-2017 15:00,68.0,1008.0,14.99,2.6
01-05-2017 16:00,60.0,1008.0,14.89,3.6
01-05-2017 17:00,71.0,1008.0,14.55,2.6
01-05-2017 18:00,80.0,1008.0,13.43,4.6
01-05-2017 19:00,89.0,1007.0,12.97,3.1
01-05-2017 20:00,87.0,1007.0,13.37,3.1
01-05-2017 21:00,70.0,1007.0,14.09,7.2
01-05-2017 22:00,79.0,1007.0,14.21,2.1
01-05-2017 23:00,77.0,1006.0,14.4,3.6
01-06-2017 00:00,74.0,1006.0,13.46,3.6
01-06-2017 01:00,77.0,1005.0,13.07,6.7
01-06-2017 02:00,70.0,1004.0,13.89,6.7
01-06-2017 03:00,83.0,1004.0,13.4,6.2
01-06-2017 04:00,64.0,1004.0,13.71,6.7
01-06-2017 05:00,62.0,1003.0,13.54,8.8
01-06-2017 06:00,84.0,1003.0,12.8,3.1
01-06-2017 07:00,88.0,1003.0,13.22,5.1
01-06-2017 08:00,90.0,1003.0,13.26,2.1
01-06-2017 09:00,61.0,1004.0,13.45,11.3
01-06-2017 10:00,88.0,1003.0,12.05,3.6
01-06-2017 11:00,86.0,1003.0,12.01,5.7
01-06-2017 12:00,87.0,1003.0,11.66,3.6
01-06-2017 13:00,79.0,1003.0,11.27,4.6
01-06-2017 14:00,86.0,1003.0,10.4,3.1
01-06-2017 15:00,89.0,1004.0,8.96,1.5
01-06-2017 16:00,84.0,1004.0,8.85,4.1
01-06-2017 17:00,87.0,1004.0,8.3,4.6
01-06-2017 18:00,86.0,1004.0,8.12,2.6
01-06-2017 19:00,87.0,1004.0,7.8,2.6
01-06-2017 20:00,86.0,1004.0,7.12,4.1
01-06-2017 21:00,84.0,1003.0,6.9,3.1
01-06-2017 22:00,89.0,1002.0,5.85,2.6
01-06-2017 23:00,88.0,1002.0,4.56,2.1
01-07-2017 00:00,85.0,1002.0,3.99,2.1
01-07-2017 01:00,86.0,1001.0,3.46,5.1
01-07-2017 02:00,86.0,1001.0,2.88,5.1
